campaign_name,campaign_type,channel,objective,target_audience,landing_page_url,destination_url,utm_source,utm_medium,utm_campaign,cta,campaign_owner,launch_date,budget,campaign_message,quality_tier
email customer WINBACK oct,Email,Braze,Customer Retention,Lapsed Customers,http://acme.io/winback,,HUBSPOT,email blast,winback_email_october,Come Back and Save,James Patel,2026-10-05,,,warning
webinar_devops__best_practices!,Webinar,ON24,Event Registration,DevOps Engineers,http://acme.io/webinar-devops2,,,,devops_webinar_2026,Register Now,Maria Gonzalez,2026-09-25,,,warning
Organic-Social Product Update,Organic Social,Twitter/X Organic,Brand Awareness,Existing Followers,http://acme.io/update,,,,,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,Sarah Chen,2026-09-08,,,warning
Partner__marketing_launch__q4,Partner Marketing,Channel Partner Program,Co-Marketing Reach,Partner Prospects,http://acme.io/partner2,,,,wrong_alignment_name,Explore the Partnership,Maria Gonzalez,2026-09-22,,,warning
us midmarket content synd Q3,Content Syndication,TechTarget,Lead Generation,US Mid-Market,http://acme.io/techtarget,https://acme.io/techtarget?utm_source=TechTarget&utm_medium=content syndication&utm_campaign=different_name_entirely,TechTarget,content syndication,different_name_entirely,Get the Report,Tom Becker,2026-09-14,9500,,warning
email_winback_missing_cta,Email,Braze,Customer Retention,Lapsed Customers,https://acme.io/winback2,,,,,,James Patel,2026-10-10,,,critical
organic_social_missing_owner,Organic Social,LinkedIn Organic,Brand Awareness,Existing Followers,https://acme.io/organic2,,,,,See What's New,,2026-09-08,,,critical
us_paid_search_missing_channel,Paid Search,,Demo Signups,US Enterprise,https://acme.io/demo3,https://acme.io/demo3?utm_source=google&utm_medium=cpc&utm_campaign=us_paid_search_missing_channel,google,cpc,us_paid_search_missing_channel,Book a Demo,Sarah Chen,2026-09-01,15000,,critical
webinar_malformed_landing_page,Webinar,ON24,Event Registration,DevOps Engineers,acme.io/not-a-valid-url,,,,,Register Now,Maria Gonzalez,2026-09-25,,,critical
paid_social_missing_destination_url,Paid Social,Meta Ads,Free Trial Signups,SMB Owners,https://acme.io/trial3,,facebook,paid_social,paid_social_missing_destination_url,Start Your Trial,Tom Becker,2026-09-10,6000,,critical
display_destination_missing_utm_param,Display,Programmatic Display,Brand Awareness,North America Enterprise,https://acme.io/brand3,https://acme.io/brand3?utm_source=dv360&utm_medium=display,dv360,display,display_destination_missing_utm_param,Learn More,Priya Nair,2026-09-15,12000,,critical
content_syndication_missing_budget,Content Syndication,ZoomInfo,Lead Generation,IT Decision Makers,https://acme.io/whitepaper3,https://acme.io/whitepaper3?utm_source=zoominfo&utm_medium=content_syndication&utm_campaign=content_syndication_missing_budget,zoominfo,content_syndication,content_syndication_missing_budget,Download the Whitepaper,Sarah Chen,2026-09-20,,,critical
paid_search_zero_budget,Paid Search,Google Ads,Demo Signups,UK Enterprise,https://acme.io/demo4,https://acme.io/demo4?utm_source=google&utm_medium=cpc&utm_campaign=paid_search_zero_budget,google,cpc,paid_search_zero_budget,Book a Demo,Sarah Chen,2026-09-01,0,,critical
paid_search_missing_utm_source,Paid Search,Microsoft Ads,Free Trial Signups,US Mid-Market,https://acme.io/trial4,https://acme.io/trial4?utm_medium=cpc&utm_campaign=paid_search_missing_utm_source,,cpc,paid_search_missing_utm_source,Start Free Trial,James Patel,2026-09-05,8000,,critical
partner_launch_date_in_past,Partner Marketing,Channel Partner Program,Co-Marketing Reach,Partner Prospects,https://acme.io/partner3,,,,,Explore the Partnership,Maria Gonzalez,2026-08-06,,,critical
,Paid Search,,,,,,,,,,,2026-09-01,0,,critical
broken_paid_search_missing_fields,Paid Search,Marketo,,,not-a-url-either,,,,,,,,,,critical
